"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","When I login with foobar and barfoo","","Wed Nov 12 22:57:12 IST 2025","broken","Wed Nov 12 22:57:12 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","1","When I click on the profile icon","","Wed Nov 12 23:58:43 IST 2025","skipped","Wed Nov 12 23:58:43 IST 2025","","Dashboard and Logout Functionality: Successful logout from dashboard","",""
"","1","hook:","","Wed Nov 12 23:58:43 IST 2025","failed","Wed Nov 12 23:58:43 IST 2025","","","",""
"","1","hook:","","Wed Nov 12 23:59:02 IST 2025","failed","Wed Nov 12 23:59:02 IST 2025","","","",""
"","2115","Given I am on the login page","","Wed Nov 12 23:30:18 IST 2025","passed","Wed Nov 12 23:30:20 IST 2025","","Login Functionality: Unsuccessful login with invalid credentials","",""
"","7024","When I enter email ""testadmin@coastcapitalsavings.com"" and password ""Test12345!""","","Wed Nov 12 23:58:54 IST 2025","passed","Wed Nov 12 23:59:01 IST 2025","","Login Functionality: Successful login with valid credentials","",""
"","8415","Given I am on the login page","","Wed Nov 12 23:58:46 IST 2025","passed","Wed Nov 12 23:58:54 IST 2025","","Login Functionality: Successful login with valid credentials","",""
"","2103","Given I navigate to the application","","Wed Nov 12 23:21:40 IST 2025","passed","Wed Nov 12 23:21:43 IST 2025","","Login Functionality: Login page should be accessible","",""
"","326","When I enter email ""invalid@example.com"" and password ""InvalidPassword""","","Wed Nov 12 23:30:20 IST 2025","passed","Wed Nov 12 23:30:21 IST 2025","","Login Functionality: Unsuccessful login with invalid credentials","",""
"","1","Then I should see a flash message saying You logged into a secure area!","","Wed Nov 12 22:57:11 IST 2025","broken","Wed Nov 12 22:57:11 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","1","Then I should be redirected to the login page","","Wed Nov 12 23:58:43 IST 2025","skipped","Wed Nov 12 23:58:43 IST 2025","","Dashboard and Logout Functionality: Successful logout from dashboard","",""
"","1160","Then I should see an error message  ""Your password is incorrect""","","Wed Nov 12 23:59:04 IST 2025","passed","Wed Nov 12 23:59:05 IST 2025","","Login Functionality: Unsuccessful login with invalid password","",""
"","2088","Given I am on the login page","","Wed Nov 12 23:59:02 IST 2025","passed","Wed Nov 12 23:59:04 IST 2025","","Login Functionality: Unsuccessful login with invalid password","",""
"","65","Then I should be redirected to the dashboard","","Wed Nov 12 23:59:02 IST 2025","passed","Wed Nov 12 23:59:02 IST 2025","","Login Functionality: Successful login with valid credentials","",""
"","101","And I click on the login button","","Wed Nov 12 23:30:21 IST 2025","passed","Wed Nov 12 23:30:21 IST 2025","","Login Functionality: Unsuccessful login with invalid credentials","",""
"","1","hook:","","Wed Nov 12 23:21:43 IST 2025","failed","Wed Nov 12 23:21:43 IST 2025","","","",""
"","105","And I click on the login button","","Wed Nov 12 23:59:04 IST 2025","passed","Wed Nov 12 23:59:04 IST 2025","","Login Functionality: Unsuccessful login with invalid password","",""
"","30210","Given I am logged in to the application","","Wed Nov 12 23:58:13 IST 2025","broken","Wed Nov 12 23:58:43 IST 2025","","Dashboard and Logout Functionality: Successful logout from dashboard","",""
"","1","Given I am on the login page","","Wed Nov 12 22:57:12 IST 2025","broken","Wed Nov 12 22:57:12 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","1308","Then I should see an error message  ""Invalid email or password.""","","Wed Nov 12 23:30:21 IST 2025","passed","Wed Nov 12 23:30:22 IST 2025","","Login Functionality: Unsuccessful login with invalid credentials","",""
"","143","And I click on the login button","","Wed Nov 12 23:59:01 IST 2025","passed","Wed Nov 12 23:59:02 IST 2025","","Login Functionality: Successful login with valid credentials","",""
"","0","And I click on the logout button","","Wed Nov 12 23:58:43 IST 2025","skipped","Wed Nov 12 23:58:43 IST 2025","","Dashboard and Logout Functionality: Successful logout from dashboard","",""
"","459","When I enter email ""testadmin@coastcapitalsavings.com"" and password ""InvalidPassword""","","Wed Nov 12 23:59:04 IST 2025","passed","Wed Nov 12 23:59:04 IST 2025","","Login Functionality: Unsuccessful login with invalid password","",""
"","2","hook:","","Wed Nov 12 22:57:12 IST 2025","failed","Wed Nov 12 22:57:12 IST 2025","","","",""
"","129","Then I should see the login page","","Wed Nov 12 23:21:43 IST 2025","failed","Wed Nov 12 23:21:43 IST 2025","","Login Functionality: Login page should be accessible","",""
"","0","When I login with tomsmith and SuperSecretPassword!","","Wed Nov 12 22:57:11 IST 2025","broken","Wed Nov 12 22:57:11 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","1","Then I should see a flash message saying Your username is invalid!","","Wed Nov 12 22:57:12 IST 2025","broken","Wed Nov 12 22:57:12 IST 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","0","hook:","","Wed Nov 12 23:59:05 IST 2025","failed","Wed Nov 12 23:59:05 IST 2025","","","",""
"","1","hook:","","Wed Nov 12 23:30:22 IST 2025","failed","Wed Nov 12 23:30:22 IST 2025","","","",""
